detector_jitter_ps,frequency_detuning_ghz,gate_label,channel,full_erasure_probability,zz_flip_probability,xx_flip_probability,erasure_mutual_information_bits,total_variation_from_independent,independent_synthetic_partial_erasure_probability
15.0,1.2,180_ps,idea2_j15_d1.2_180_ps,0.049171835398404196,0.07330533272971625,0,0.2828685033839836,0.09350793200391286,0.09350793200391289
15.0,1.2,220_ps,idea2_j15_d1.2_220_ps,0.021749059393722316,0.08465617361135204,0,0.1511514955575934,0.042552075618421295,0.042552075618421316
15.0,1.2,250_ps,idea2_j15_d1.2_250_ps,0.014191560190467994,0.08873558198335699,0,0.10744759756434638,0.027980319619656583,0.02798031961965664
15.0,1.2,320_ps,idea2_j15_d1.2_320_ps,0.01022603142860904,0.0913954764282964,0,0.08228788369265888,0.02024291941966022,0.020242919419660284
15.0,1.2,450_ps,idea2_j15_d1.2_450_ps,0.009975264912181111,0.0916129361187668,0,0.08062911356169139,0.019751518004225865,0.019751518004225838
15.0,1.2,no_filter,idea2_j15_d1.2_no_filter,0.009974999999999956,0.09161319691565736,0,0.08062735640317902,0.01975099875000009,0.019750998749999915
15.0,1.5,40_ps,idea2_j15_d1.5_40_ps,0.6509510296994214,0.006724990256803391,0,0.9332158361926914,0.4544275732653687,0.4544275732653687
15.0,1.5,140_ps,idea2_j15_d1.5_140_ps,0.11833689361410207,0.0815994153084048,0,0.5245613475611965,0.20866654644773344,0.20866654644773355
15.0,1.5,180_ps,idea2_j15_d1.5_180_ps,0.049171835398404196,0.11027380749303207,0,0.2828685033839836,0.09350793200391291,0.09350793200391289
15.0,1.5,220_ps,idea2_j15_d1.5_220_ps,0.021749059393722316,0.12629075639207424,0,0.1511514955575934,0.0425520756184213,0.042552075618421316
15.0,1.5,250_ps,idea2_j15_d1.5_250_ps,0.014191560190467994,0.1318217072331158,0,0.10744759756434638,0.027980319619656593,0.02798031961965664
15.0,1.5,320_ps,idea2_j15_d1.5_320_ps,0.01022603142860904,0.13523289927693452,0,0.08228788369265888,0.020242919419660225,0.020242919419660284
15.0,1.5,450_ps,idea2_j15_d1.5_450_ps,0.009975264912181111,0.1354786263696333,0,0.08062911356169108,0.019751518004225928,0.01975151800422584
15.0,1.5,no_filter,idea2_j15_d1.5_no_filter,0.009974999999999956,0.1354788294440914,0,0.08062735640317902,0.019750998750000096,0.01975099874999991
30.0,0.6,40_ps,idea2_j30_d0.6_40_ps,0.6765489121128873,0.0020253503097658137,0,0.9080949802650715,0.43766096326351206,0.437660963263512
30.0,0.6,140_ps,idea2_j30_d0.6_140_ps,0.14859483857777683,0.01356079784955503,0,0.6063126880472982,0.2530288250516426,0.25302882505164254
30.0,0.6,180_ps,idea2_j30_d0.6_180_ps,0.0671782199016393,0.018466319258826278,0,0.35530397316986206,0.12533061334497253,0.12533061334497259
30.0,0.6,220_ps,idea2_j30_d0.6_220_ps,0.030166401652546568,0.02180539916705922,0,0.19522566869875943,0.058512779727767625,0.058512779727767604
30.0,0.6,250_ps,idea2_j30_d0.6_250_ps,0.018299124831341173,0.023259469494131785,0,0.131781061263857,0.0359285337234964,0.03592853372349633
30.0,0.6,320_ps,idea2_j30_d0.6_320_ps,0.01071086565215722,0.02450610497556127,0,0.0854697319675321,0.021192286018277294,0.02119228601827732
30.0,0.6,450_ps,idea2_j30_d0.6_450_ps,0.00997708047413221,0.024688953928456363,0,0.08064115588091414,0.019755076678689882,0.0197550766786898
30.0,0.6,no_filter,idea2_j30_d0.6_no_filter,0.009974999999999956,0.024689832588614413,0,0.08062735640317902,0.019750998750000047,0.01975099874999991
30.0,0.9,40_ps,idea2_j30_d0.9_40_ps,0.6765489121128873,0.004521894410140824,0,0.9080949802650715,0.43766096326351206,0.437660963263512
30.0,0.9,140_ps,idea2_j30_d0.9_140_ps,0.14859483857777683,0.029987947618231266,0,0.606312688047298,0.2530288250516426,0.25302882505164254
30.0,0.9,180_ps,idea2_j30_d0.9_180_ps,0.0671782199016393,0.040651390375472815,0,0.3553039731698618,0.12533061334497259,0.12533061334497259
30.0,0.9,220_ps,idea2_j30_d0.9_220_ps,0.030166401652546568,0.047812134084196205,0,0.19522566869875943,0.05851277972776761,0.058512779727767604
30.0,0.9,250_ps,idea2_j30_d0.9_250_ps,0.018299124831341173,0.050884702401184756,0,0.131781061263857,0.0359285337234964,0.035928533723496324
30.0,0.9,320_ps,idea2_j30_d0.9_320_ps,0.01071086565215722,0.053464153575629135,0,0.0854697319675321,0.021192286018277304,0.021192286018277322
30.0,0.9,450_ps,idea2_j30_d0.9_450_ps,0.00997708047413221,0.05382608118391445,0,0.08064115588091414,0.019755076678689816,0.019755076678689802
30.0,0.9,no_filter,idea2_j30_d0.9_no_filter,0.009974999999999956,0.053827649814857326,0,0.08062735640317902,0.01975099875000004,0.01975099874999991
30.0,1.2,40_ps,idea2_j30_d1.2_40_ps,0.6765489121128873,0.007952519633243713,0,0.9080949802650715,0.43766096326351195,0.437660963263512
30.0,1.2,140_ps,idea2_j30_d1.2_140_ps,0.14859483857777683,0.052040346354053135,0,0.6063126880472982,0.2530288250516426,0.25302882505164254
30.0,1.2,180_ps,idea2_j30_d1.2_180_ps,0.0671782199016393,0.0701037409774839,0,0.3553039731698618,0.12533061334497259,0.12533061334497259
30.0,1.2,220_ps,idea2_j30_d1.2_220_ps,0.030166401652546568,0.08200341551799403,0,0.19522566869875943,0.058512779727767604,0.058512779727767604
30.0,1.2,250_ps,idea2_j30_d1.2_250_ps,0.018299124831341173,0.08700292363398976,0,0.131781061263857,0.03592853372349637,0.03592853372349633
30.0,1.2,320_ps,idea2_j30_d1.2_320_ps,0.01071086565215722,0.09107553024116911,0,0.0854697319675321,0.021192286018277322,0.021192286018277322
30.0,1.2,450_ps,idea2_j30_d1.2_450_ps,0.00997708047413221,0.09161121306846816,0,0.08064115588091414,0.0197550766786899,0.0197550766786898
30.0,1.2,no_filter,idea2_j30_d1.2_no_filter,0.009974999999999956,0.09161319691565736,0,0.08062735640317902,0.01975099875000009,0.019750998749999915
30.0,1.5,40_ps,idea2_j30_d1.5_40_ps,0.6765489121128873,0.012255041114365438,0,0.9080949802650715,0.43766096326351195,0.43766096326351206
30.0,1.5,140_ps,idea2_j30_d1.5_140_ps,0.14859483857777683,0.07884232905892684,0,0.606312688047298,0.2530288250516426,0.25302882505164254
30.0,1.5,180_ps,idea2_j30_d1.5_180_ps,0.0671782199016393,0.10536542111818806,0,0.35530397316986206,0.12533061334497253,0.12533061334497259
30.0,1.5,220_ps,idea2_j30_d1.5_220_ps,0.030166401652546568,0.12240655629787572,0,0.19522566869875912,0.05851277972776761,0.05851277972776761
30.0,1.5,250_ps,idea2_j30_d1.5_250_ps,0.018299124831341173,0.12937002341506798,0,0.131781061263857,0.03592853372349641,0.03592853372349633
30.0,1.5,320_ps,idea2_j30_d1.5_320_ps,0.01071086565215722,0.13482025534254674,0,0.08546973196753241,0.021192286018277252,0.021192286018277322
30.0,1.5,450_ps,idea2_j30_d1.5_450_ps,0.00997708047413221,0.13547689491955245,0,0.08064115588091446,0.019755076678689813,0.0197550766786898
30.0,1.5,no_filter,idea2_j30_d1.5_no_filter,0.009974999999999956,0.1354788294440914,0,0.08062735640317902,0.019750998750000096,0.01975099874999991
60.0,0.6,40_ps,idea2_j60_d0.6_40_ps,0.741487325626901,0.0033822831582281817,0,0.8244936737675408,0.38336774312313415,0.38336774312313415
60.0,0.6,140_ps,idea2_j60_d0.6_140_ps,0.2508926426825035,0.012970972511957309,0,0.8126898665841421,0.3758910490605863,0.37589104906058624
60.0,0.6,180_ps,idea2_j60_d0.6_180_ps,0.1422565988724023,0.016701059950623764,0,0.5901182678063863,0.24403931789931735,0.24403931789931746
60.0,0.6,220_ps,idea2_j60_d0.6_220_ps,0.07606215384331713,0.019768578542376892,0,0.388149631058325,0.14055340519206544,0.14055340519206538
60.0,0.6,250_ps,idea2_j60_d0.6_250_ps,0.04682457239723436,0.021500830444762566,0,0.27275166983561416,0.08926406363410103,0.08926406363410103
60.0,0.6,320_ps,idea2_j60_d0.6_320_ps,0.01755934504285587,0.023782261021412964,0,0.12750843093700234,0.03450202888904355,0.0345020288890436
60.0,0.6,450_ps,idea2_j60_d0.6_450_ps,0.01015007064556161,0.024655132916654582,0,0.08178637481812279,0.02009409342290345,0.020094093422903435
60.0,0.6,no_filter,idea2_j60_d0.6_no_filter,0.009974999999999956,0.024689832588614413,0,0.08062735640317902,0.019750998750000047,0.01975099874999991
60.0,0.9,40_ps,idea2_j60_d0.9_40_ps,0.741487325626901,0.007486008611589264,0,0.8244936737675408,0.3833677431231341,0.38336774312313415
60.0,0.9,140_ps,idea2_j60_d0.9_140_ps,0.2508926426825035,0.028570204504732855,0,0.8126898665841421,0.3758910490605863,0.37589104906058624
60.0,0.9,180_ps,idea2_j60_d0.9_180_ps,0.1422565988724023,0.03669835793081185,0,0.5901182678063861,0.24403931789931743,0.24403931789931746
60.0,0.9,220_ps,idea2_j60_d0.9_220_ps,0.07606215384331713,0.043341031813439755,0,0.38814963105832523,0.14055340519206538,0.14055340519206538
60.0,0.9,250_ps,idea2_j60_d0.9_250_ps,0.04682457239723436,0.047068805606620856,0,0.27275166983561416,0.08926406363410101,0.08926406363410103
60.0,0.9,320_ps,idea2_j60_d0.9_320_ps,0.01755934504285587,0.05193303275575832,0,0.12750843093700234,0.03450202888904359,0.0345020288890436
60.0,0.9,450_ps,idea2_j60_d0.9_450_ps,0.01015007064556161,0.05375792509405075,0,0.08178637481812279,0.020094093422903414,0.02009409342290344
60.0,0.9,no_filter,idea2_j60_d0.9_no_filter,0.009974999999999956,0.053827649814857326,0,0.08062735640317902,0.01975099875000004,0.01975099874999991
60.0,1.2,40_ps,idea2_j60_d1.2_40_ps,0.741487325626901,0.013007545891443881,0,0.8244936737675408,0.3833677431231341,0.38336774312313415
60.0,1.2,140_ps,idea2_j60_d1.2_140_ps,0.2508926426825035,0.04931237573875134,0,0.8126898665841421,0.37589104906058624,0.37589104906058624
60.0,1.2,180_ps,idea2_j60_d1.2_180_ps,0.1422565988724023,0.06313290339604362,0,0.5901182678063861,0.2440393178993175,0.24403931789931746
60.0,1.2,220_ps,idea2_j60_d1.2_220_ps,0.07606215384331713,0.07432933183202518,0,0.38814963105832523,0.14055340519206538,0.14055340519206538
60.0,1.2,250_ps,idea2_j60_d1.2_250_ps,0.04682457239723436,0.08055778824353577,0,0.27275166983561416,0.08926406363410105,0.08926406363410103
60.0,1.2,320_ps,idea2_j60_d1.2_320_ps,0.01755934504285587,0.08857994511154375,0,0.12750843093700234,0.03450202888904361,0.03450202888904361
60.0,1.2,450_ps,idea2_j60_d1.2_450_ps,0.01015007064556161,0.09150751476978901,0,0.08178637481812279,0.020094093422903466,0.02009409342290344
60.0,1.2,no_filter,idea2_j60_d1.2_no_filter,0.009974999999999956,0.09161319691565736,0,0.08062735640317902,0.01975099875000009,0.019750998749999915
60.0,1.5,40_ps,idea2_j60_d1.5_40_ps,0.741487325626901,0.01974054994154973,0,0.8244936737675408,0.3833677431231341,0.3833677431231342
60.0,1.5,140_ps,idea2_j60_d1.5_140_ps,0.2508926426825035,0.07420817714399779,0,0.8126898665841421,0.37589104906058624,0.37589104906058624
60.0,1.5,180_ps,idea2_j60_d1.5_180_ps,0.1422565988724023,0.0946113833455227,0,0.5901182678063863,0.24403931789931743,0.2440393178993175
60.0,1.5,220_ps,idea2_j60_d1.5_220_ps,0.07606215384331713,0.11095655791392772,0,0.3881496310583255,0.14055340519206533,0.14055340519206538
60.0,1.5,250_ps,idea2_j60_d1.5_250_ps,0.04682457239723436,0.11994737256314301,0,0.2727516698356142,0.08926406363410111,0.08926406363410103
60.0,1.5,320_ps,idea2_j60_d1.5_320_ps,0.01755934504285587,0.13133500663704892,0,0.12750843093700234,0.03450202888904361,0.0345020288890436
60.0,1.5,450_ps,idea2_j60_d1.5_450_ps,0.01015007064556161,0.1353445566005112,0,0.08178637481812248,0.0200940934229035,0.020094093422903435
60.0,1.5,no_filter,idea2_j60_d1.5_no_filter,0.009974999999999956,0.1354788294440914,0,0.08062735640317902,0.019750998750000096,0.01975099874999991
