pair_probability,signal_efficiency,idler_efficiency,fusion_detector_efficiency,full_success_probability,partial_failure_probability,count_rejection_probability,full_success_hidden_error_probability,hidden_error_given_full_success,partial_retained_parity_error_probability,xx_flip_marginal,zz_flip_marginal,max_full_bell_coherence
0.03,0.9,0.95,0.85,0.29168222882432393,0.29209328340908775,0.4162244877665884,0.00023610098407861343,0.0008094458994991213,0.00020552729238191406,0.00023610098407861343,0.00020552729238191406,2.463357203182136e-18
0.03,0.9,0.95,0.95,0.3639571236274129,0.3642736630502393,0.2717692133223478,9.825092257118607e-05,0.00026995191519253427,0.00015826971141299324,9.825092257118607e-05,0.00015826971141299324,3.3462644423799937e-18
0.03,0.9,0.95,0.99,0.3950806591246414,0.395338978521151,0.20958036235420763,2.1334876003032634e-05,5.4001317225457586e-05,0.000129159698254649,2.1334876003032634e-05,0.000129159698254649,4.302607101470714e-18
0.03,0.9,0.99,0.85,0.29242640787759916,0.2925088634048462,0.4150647287175546,4.736659445539614e-05,0.0001619778281967693,4.122776362351205e-05,4.736659445539614e-05,4.122776362351205e-05,3.2856523775729416e-18
0.03,0.9,0.99,0.95,0.3652011516086451,0.36526469246295423,0.2695341559284007,1.9720159657323553e-05,5.399807632166496e-05,3.177042715455124e-05,1.9720159657323553e-05,3.177042715455124e-05,1.4769040022789937e-18
0.03,0.9,0.99,0.99,0.3965681152035494,0.39661998376885127,0.20681190102759928,4.2829565266131514e-06,1.0800052657826026e-05,2.5934282650815425e-05,4.2829565266131514e-06,2.5934282650815425e-05,1.3023801239292193e-17
0.03,0.95,0.85,0.85,0.3224262833190642,0.32354204039469237,0.35403167628624344,0.0008251304653754939,0.002559129041471372,0.0005578785378140282,0.0008251304653754939,0.0005578785378140282,3.3819228388832167e-18
0.03,0.95,0.85,0.95,0.401378424457467,0.40208238026760185,0.19653919527493113,0.0003429421903579608,0.000854411122923478,0.0003519779050672965,0.0003429421903579608,0.0003519779050672965,2.143081892524609e-18
0.03,0.95,0.85,0.99,0.43529430235275895,0.4357603153797458,0.1289453822674953,7.443176960730984e-05,0.0001709918305960066,0.00023300651349341688,7.443176960730984e-05,0.00023300651349341688,3.3469277187661235e-18
0.03,0.95,0.95,0.85,0.3248258891105838,0.3252009005778494,0.3499732103115668,0.00027751403743183966,0.0008543470417081279,0.00018750573363265102,0.00027751403743183966,0.00018750573363265102,2.4138648555265525e-18
0.03,0.95,0.95,0.95,0.4052890268614479,0.4055260689397885,0.18918490419876366,0.00011548084613058861,0.0002849345491163936,0.00011852103917028863,0.00011548084613058861,0.00011852103917028863,1.7631422560151222e-18
0.03,0.95,0.95,0.99,0.4399364784661743,0.44009351476543956,0.1199700067683862,2.507597972429162e-05,5.6999091804613005e-05,7.851814963257682e-05,2.507597972429162e-05,7.851814963257682e-05,3.279314727891029e-18
0.03,0.95,0.99,0.85,0.32578754852626024,0.3258627989313409,0.3483496525423988,5.570115848550108e-05,0.00017097387158432565,3.7625202540243345e-05,5.570115848550108e-05,3.7625202540243345e-05,3.3688117535117116e-18
0.03,0.95,0.99,0.95,0.4068598358822162,0.4069074363945321,0.18623272772325172,2.3189945340912475e-05,5.699738164281677e-05,2.3800256157780194e-05,2.3189945340912475e-05,2.3800256157780194e-05,1.3184590637267451e-17
0.03,0.95,0.99,0.99,0.44180272483434435,0.44183426870430825,0.11636300646134745,5.036535009969659e-06,1.1399963664457089e-05,1.5771934981770668e-05,5.036535009969659e-06,1.5771934981770668e-05,3.4305838278895134e-18
0.03,0.99,0.85,0.85,0.34972109459537143,0.35071778242015084,0.2995611229844777,0.0009324866275358349,0.00266637226620466,0.0004983439123895523,0.0009324866275358349,0.0004983439123895523,1.3731888047353447e-18
0.03,0.99,0.85,0.95,0.4352943023527587,0.4357603153797457,0.12894538226749563,0.0003875321385796639,0.0008902761568094481,0.00023300651349341688,0.0003875321385796639,0.00023300651349341688,2.9010458768750934e-18
0.03,0.99,0.85,0.99,0.4720488845275477,0.47221794972796366,0.05573316574448861,8.41069519206846e-05,0.00017817424143447226,8.453260020789751e-05,8.41069519206846e-05,8.453260020789751e-05,2.080381884838125e-18
