pair_probability,signal_efficiency,idler_efficiency,one_count_herald_probability,conditional_vacuum_probability,conditional_single_photon_probability,conditional_multiphoton_probability,conditional_hidden_fault_probability,two_pair_masked_fraction_of_valid_heralds,two_pair_hidden_fault_probability,decoder_visible_record_count,cutoff_tail_probability
0.1,0.9,0.95,0.08636145551880003,0.09910157680140719,0.892806551584063,0.008091871614529796,0.10719344841593698,0.009900250000000011,0.00811820500000001,1.0,0.0
0.1,0.9,0.99,0.08927846765684605,0.09982006301440223,0.8985602612124544,0.001619675773143402,0.10143973878754563,0.0019960020000000024,0.001636721640000002,1.0,0.0
0.1,0.95,0.85,0.07884768996882167,0.048584098819673974,0.924483563654726,0.026932337525600102,0.07551643634527408,0.029106750000000008,0.026341608750000006,1.0,0.0
0.1,0.95,0.9,0.08264462809917357,0.04905404177826786,0.9329592868273956,0.017986671394336507,0.06704071317260436,0.019601999999999998,0.017739809999999998,1.0,0.0
0.1,0.95,0.95,0.08636145551880003,0.04952600990957921,0.9414648030298322,0.009009187060588642,0.05853519697016785,0.009900250000000013,0.008959726250000011,1.0,0.0
0.1,0.95,0.99,0.08927846765684605,0.04990504037927538,0.9482905915241676,0.0018043680965570607,0.05170940847583244,0.0019960020000000024,0.001806381810000002,1.0,0.0
0.1,0.99,0.85,0.07884768996882167,0.009705161330032887,0.9610992582077373,0.02919558046222985,0.03890074179226274,0.029106750000000008,0.028530436350000004,1.0,0.0
0.1,0.99,0.9,0.08264462809917357,0.009802960494069217,0.9706872069424372,0.019509832563493583,0.0293127930575628,0.019602,0.0192138804,1.0,0.0
0.1,0.99,0.95,0.08636145551880003,0.009901240099256836,0.9803207970047673,0.009777962895975906,0.019679202995232743,0.009900250000000011,0.009704225050000011,1.0,0.0
0.1,0.99,0.99,0.08927846765684605,0.00998020960319405,0.9880605117288346,0.0019592786679713693,0.01193948827116542,0.0019960020000000024,0.0019564811604000022,1.0,0.0
0.2,0.85,0.85,0.14454245934743332,0.1424138406858992,0.8143077014809167,0.0432784578331841,0.1856922985190833,0.056454000000000004,0.04205823,1.0,1.1102230246251565e-15
0.2,0.85,0.9,0.14993752603082053,0.1449282652370351,0.826202557859139,0.028869176903825997,0.17379744214086107,0.03841599999999999,0.028619919999999993,1.0,0.0
0.2,0.85,0.95,0.15508621569227632,0.14745703933968057,0.8381004250635055,0.014442535596813959,0.16189957493649454,0.01960200000000002,0.014603490000000014,1.0,0.0
0.2,0.85,0.99,0.1590355058815025,0.14949028071430331,0.8476200101946582,0.0028897090910386157,0.15237998980534193,0.003984016000000003,0.002968091920000003,1.0,0.0
0.2,0.9,0.85,0.14454245934743332,0.0946570906299641,0.8570406791541484,0.04830223021588755,0.14295932084585164,0.05645400000000001,0.04629228000000001,1.0,2.1094237467877974e-15
0.2,0.9,0.9,0.14993752603082053,0.09642531556098165,0.8713061079448225,0.0322685764941958,0.12869389205517745,0.03841599999999999,0.031501119999999994,1.0,0.0
0.2,0.9,0.95,0.15508621569227632,0.09820631442253061,0.8856263129455241,0.01616737263194532,0.11437368705447593,0.01960200000000002,0.016073640000000017,1.0,0.0
0.2,0.9,0.99,0.1590355058815025,0.099640252115236,0.8971210457000715,0.003238702184692577,0.10287895429992858,0.003984016000000004,0.0032668931200000037,1.0,0.0
0.2,0.95,0.85,0.14454245934743332,0.04718645319005051,0.8992362789452935,0.05357726786465605,0.10076372105470657,0.05645400000000002,0.05109087000000001,1.0,3.4416913763379853e-15
0.2,0.95,0.9,0.14993752603082053,0.04811618425232042,0.9160377460409221,0.035846069706757466,0.08396225395907789,0.03841599999999999,0.03476647999999999,1.0,1.1102230246251565e-16
0.2,0.95,0.95,0.15508621569227632,0.04905404177826787,0.9329592868273958,0.017986671394336316,0.06704071317260418,0.019602000000000022,0.01773981000000002,1.0,0.0
0.2,0.95,0.99,0.1590355058815025,0.04981016153420527,0.9465823666934835,0.0036074717723112615,0.05341763330651653,0.003984016000000005,0.0036055344800000042,1.0,0.0
0.2,0.99,0.85,0.14454245934743332,0.00941464794144656,0.9326095441103026,0.05797580794825083,0.06739045588969739,0.05645400000000002,0.055336210800000014,1.0,5.662137425588298e-15
0.2,0.99,0.9,0.14993752603082053,0.009607842752787412,0.9515569792082997,0.03883517803891289,0.048443020791700306,0.03841599999999999,0.03765536319999999,1.0,1.1102230246251565e-16
0.2,0.99,0.95,0.15508621569227632,0.009802960494069216,0.9706872069424372,0.019509832563493607,0.029312793057562823,0.019602000000000022,0.019213880400000022,1.0,0.0
0.2,0.99,0.99,0.1590355058815025,0.009960438413552377,0.9861228470666844,0.003916714519763164,0.01387715293331554,0.003984016000000004,0.0039051324832000043,1.0,0.0
